Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
219619,OIE,39.71,76.17,Asia,China,Xinjiang Uygur Zizhiqu,Kizilsu Kirghiz Autonomous Prefecture,Exact,22/11/2016,30/11/2016,Confirmed,Foot and mouth disease,O,"domestic, cattle",22,22,0,22,0,,,,
219615,OIE,-3.1309,36.8442,Africa,United Republic of Tanzania,Arusha,Selela,Centroid Locality,08/11/2016,29/11/2016,Confirmed,Anthrax,,"domestic, cattle, domestic, goat, domestic, sheep, wild, unspecified mammal, wild, unspecified mammal",49500,169,169,0,0,,,,
219593,National authorities,24.186848,38.026428,Asia,Saudi Arabia,Madinah,Yanbua,Exact,22/11/2016,29/11/2016,Confirmed,MERS-CoV ,,,,,,,,Male,59,1,
219592,National authorities,18.1548,42.161,Asia,Saudi Arabia,Asir,RIJĀL ALMA,Exact,24/11/2016,29/11/2016,Confirmed,MERS-CoV ,,,,,,,,Male,78,1,1
219591,National authorities,24.71166,46.7241,Asia,Saudi Arabia,Riyad,Riyad,Exact,21/11/2016,29/11/2016,Confirmed,MERS-CoV ,,,,,,,,Male,50,1,
219590,National authorities,38.089616,139.564917,Asia,Japan,Niigata,Sekikawa Village,Exact,28/11/2016,29/11/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, chicken",315590,130,130,,,,0,,
219589,National authorities,40.814459,140.749038,Asia,Japan,Aomori,Aomorisi,Exact,28/11/2016,28/11/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",16500,10,10,,,,0,,
219587,National authorities,21.271459,40.420074,Asia,Saudi Arabia,Makkah,Taif,Unknown,23/11/2016,28/11/2016,Confirmed,MERS-CoV ,,,,,,,,,0,1,
219586,National authorities,23.402081,45.23404,Asia,Saudi Arabia,Riyad,Riyad,Centroid Admin1,25/11/2016,28/11/2016,Confirmed,MERS-CoV ,,,,,,,,Female,47,1,
219585,OIE,35.66552,50.79663,Asia,Iran  (Islamic Republic of),Tehran,"Sad-o-dah Farm, Amirabad Tavanbakhshi, Malard",Exact,22/11/2016,26/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",26873,13436,1401,25472,,,0,,
219581,National authorities,50.948611,1.950833,Europe,France,Nord-Pas-de-Calais,Marck (Pas-de-Calais,Exact,17/11/2016,26/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, eurasian wigeon",75,25,25,,,,0,,
219580,National authorities,28.434167,45.963611,Asia,Saudi Arabia,Eastern Province,Hafrelbatin,Centroid Locality,18/11/2016,27/11/2016,Confirmed,MERS-CoV ,,,,,,,,Male,56,1,1
219578,National authorities,49.749979,118.251791,Europe,Russian Federation,Chitinskaya Oblast,Transbaikal,Centroid Locality,,26/11/2016,Confirmed,Foot and mouth disease,O,"domestic, cattle",,,,,,,0,,
219577,OIE,44.15,28.63,Europe,Romania,Constanta,Constanta,Unknown,23/11/2016,29/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,1,1,,,,0,,
219576,OIE,34.989722,126.471389,Asia,Republic of Korea,Chollanam-do,Muan-gun,Centroid Locality,19/11/2016,24/11/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",22000,3300,3300,18700,0,,,,
219575,National authorities,52.44,5.67,Europe,Netherlands,Flevoland,Biddinghuizen,Unknown,25/11/2016,26/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",13675,,500,13675,,,0,,
219574,National authorities,53.62,11.86,Europe,Germany,Mecklenburg-Vorpommern,Demen,Unknown,,26/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken, domestic, duck, domestic, pigeon",98,,,,,,0,,
219571,OIE,44.411574,19.578215,Europe,Serbia,Kolubarski,Plužac,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",37,1,0,0,0,,,,
219570,OIE,44.216667,19.831389,Europe,Serbia,Kolubarski,Lelic,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",44,2,0,0,0,,,,
219569,OIE,44.35783,19.686059,Europe,Serbia,Kolubarski,Osladic,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",20,1,1,0,0,,,,
219568,OIE,44.35783,19.686059,Europe,Serbia,Kolubarski,Osladic,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",35,3,0,0,0,,,,
219567,OIE,44.325758,19.728514,Europe,Serbia,Kolubarski,Stapar,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",35,2,1,0,0,,,,
219566,OIE,44.392775,19.77199,Europe,Serbia,Kolubarski,Ogladjenovac,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle",3,1,0,0,0,,,,
219565,OIE,44.35783,19.686059,Europe,Serbia,Kolubarski,Osladic,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",18,3,0,0,0,,,,
219564,OIE,44.279672,19.506182,Europe,Serbia,Kolubarski,Carina,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",7,1,0,0,0,,,,
219563,OIE,44.279672,19.506182,Europe,Serbia,Kolubarski,Carina,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",13,2,0,0,0,,,,
219562,OIE,44.312995,19.516741,Europe,Serbia,Kolubarski,Gunjaci 1,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",12,3,0,0,0,,,,
219561,OIE,44.274287,19.544785,Europe,Serbia,Kolubarski,Skadar,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",20,2,0,0,0,,,,
219560,OIE,44.312938,19.512578,Europe,Serbia,Kolubarski,Gunjaci,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",9,1,0,0,0,,,,
219559,OIE,44.312938,19.512578,Europe,Serbia,Kolubarski,Gunjaci,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",17,1,1,0,0,,,,
219558,OIE,44.246178,19.68187,Europe,Serbia,Kolubarski,Suvodanje,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",15,1,0,0,0,,,,
219557,OIE,44.274497,19.687572,Europe,Serbia,Kolubarski,Bobova,Exact,13/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, sheep",226,4,0,0,0,,,,
219556,OIE,43.97283,19.274932,Europe,Serbia,Zlatiborski,Jagoštica,Exact,10/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",36,3,0,0,0,,,,
219555,OIE,43.992432,19.658382,Europe,Serbia,Zlatiborski,Dobrotin,Exact,10/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",22,5,0,0,0,,,,
219554,OIE,43.95424,19.576498,Europe,Serbia,Zlatiborski,Obajgora,Exact,10/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle",1,1,0,0,0,,,,
219553,OIE,43.94912,19.575687,Europe,Serbia,Zlatiborski,Višesava,Exact,10/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",17,2,0,0,0,,,,
219552,OIE,44.333112,19.671299,Europe,Serbia,Kolubarski,Osladic,Exact,10/10/2016,25/11/2016,Confirmed,Bluetongue,4,"domestic, cattle, domestic, sheep",19,2,0,0,0,,,,
219551,OIE,60.134968,20.222208,Europe,Finland,Aaland,Vårdö,Exact,12/11/2016,25/11/2016,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, tufted duck",,2,2,0,0,,0,,
219550,OIE,50.2546,43.0755,Europe,Russian Federation,Volgogradskaya Oblast,Rekonstruktsiya,Exact,20/11/2016,25/11/2016,Confirmed,African swine fever,,"domestic, swine",44,4,4,0,0,,,,
219549,OIE,45.765,40.2441,Europe,Russian Federation,Krasnodarskiy Kray,Yugo-Severnaya,Exact,20/11/2016,25/11/2016,Confirmed,African swine fever,,"domestic, swine",4,1,0,0,0,,,,
219548,OIE,50.3397,41.1602,Europe,Russian Federation,Voronezhskaya Oblast,Kalacheevsky,Exact,16/11/2016,25/11/2016,Confirmed,African swine fever,,"domestic, swine",72,64,9,63,0,,,,
219547,OIE,50.4661,41.20037,Europe,Russian Federation,Voronezhskaya Oblast,Podgornoe,Exact,16/11/2016,25/11/2016,Confirmed,African swine fever,,"domestic, swine",3,1,0,3,0,,,,
219546,OIE,49.2487,44.0415,Europe,Russian Federation,Volgogradskaya Oblast,Krasnodonskoe,Exact,14/11/2016,25/11/2016,Confirmed,African swine fever,,"domestic, swine",5165,20,1,5,0,,,,
219545,OIE,44.2,39.3,Europe,Russian Federation,Krasnodarskiy Kray,Prichernomorsky,Exact,09/11/2016,25/11/2016,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,0,,,,
219544,OIE,57.6961,31.374,Europe,Russian Federation,Novgorodskaya Oblast,Borok,Exact,08/11/2016,25/11/2016,Confirmed,African swine fever,,"domestic, swine",3,1,0,3,0,,,,
219543,OIE,49.175864,34.343962,Europe,Ukraine,Poltavs'ka,Hunting grounds ""Takhtayivske"",Exact,20/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,8,8,0,0,,,,
219542,OIE,31.391758,34.757396,Asia,Israel,Southern District,RAHAT,Exact,19/11/2016,24/11/2016,Confirmed,Sheep pox and goat pox,,"domestic, sheep",280,8,0,0,0,,,,
219541,OIE,52.409556,23.244833,Europe,Poland,Podlaskie,Litwinowicze Kolonia,Exact,19/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,0,,,,
219540,OIE,52.180119,23.278406,Europe,Poland,Lubeiskie,Kajetanka,Exact,16/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,3,3,0,0,,,,
219539,OIE,52.776083,23.771583,Europe,Poland,Podlaskie,Teremiski,Exact,15/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,0,,,,
219538,OIE,52.233211,23.086231,Europe,Poland,Lubeiskie,Wandopol,Exact,12/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,0,,,,
219537,OIE,52.040353,23.427281,Europe,Poland,Lubeiskie,Dobryn,Exact,12/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,0,,,,
219536,OIE,53.297778,22.638556,Europe,Poland,Podlaskie,Szorce,Exact,10/11/2016,24/11/2016,Confirmed,African swine fever,,"wild, wild boar",,3,3,0,0,,,,
219535,OIE,36.942006,127.530444,Asia,Republic of Korea,Chungchongbuk-do,Eumseong-gun,Exact,21/11/2016,24/11/2016,Confirmed,Influenza - Avian,H5N6 HPAI,"domestic, duck",6700,0,0,6700,0,,,,
