Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
223404,OIE,23.780886,120.307984,Asia,Taiwan (Province of China),Taiwan Sheng,Lunbei Township,Exact,14/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",19000,8271,8271,10729,0,,,,
223403,OIE,24.8106,121.79,Asia,Taiwan (Province of China),Taiwan Sheng,Jiaoxi Township,Exact,12/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",3815,0,0,3815,0,,,,
223402,OIE,23.757828,120.247036,Asia,Taiwan (Province of China),Taiwan Sheng,Mailiao Township,Exact,11/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",24000,7368,7368,16632,0,,,,
223401,OIE,23.639212,120.302376,Asia,Taiwan (Province of China),Taiwan Sheng,Yuanchang Township,Exact,09/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",20000,3199,3199,16801,0,,,,
223400,OIE,23.75389,120.22056,Asia,Taiwan (Province of China),Taiwan Sheng,Taixi Township,Exact,06/01/2017,06/02/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, chicken",500,467,467,33,0,,,,
223399,OIE,56.2551,12.86258,Europe,Sweden,Skaane Laen,Trosa,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",7,7,3,4,0,,,,
223398,OIE,58.88024,17.58002,Europe,Sweden,Soedermanlands Laen,Angelholm,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",46,11,11,35,0,,,,
223396,OIE,50.03,8.23,Europe,Germany,Hessen,Wiesbaden,Exact,03/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,2,2,0,0,,,,
223395,OIE,54.14,9.99,Europe,Germany,Schleswig-Holstein,Neumünster,Exact,03/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, cormorant",,1,1,0,0,,,,
223394,OIE,52.27,11.74,Europe,Germany,Sachsen-Anhalt,Börde,Exact,03/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, wild duck",,1,1,0,0,,,,
223393,OIE,50.06,9.7,Europe,Germany,Bayern,Main-Spessart-Kreis,Exact,02/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,1,1,0,0,,,,
223392,OIE,48.21,11.42,Europe,Germany,Bayern,Dachau,Exact,02/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,2,2,0,0,,,,
223391,OIE,52.23,8.52,Europe,Germany,Nordrhein-Westfalen,Herford,Exact,01/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, wild duck",,1,1,0,0,,,,
223390,OIE,52.6,14.24,Europe,Germany,Brandenburg,Neuhardenberg,Exact,01/02/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",2850,50,50,2800,0,,,,
223389,OIE,51.26,9.49,Europe,Germany,Hessen,Kassel,Exact,31/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,1,1,0,0,,,,
223388,OIE,51.44,12.37,Europe,Germany,Sachsen,Rackwitz,Exact,31/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",6722,265,265,6457,0,,,,
223387,OIE,49.02,12.07,Europe,Germany,Bayern,Regensburg,Exact,31/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,4,4,0,0,,,,
223386,OIE,49.23,12.08,Europe,Germany,Bayern,Teublitz,Exact,31/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",222,16,12,210,0,,,,
223385,OIE,50.88,10.74,Europe,Germany,Thueringen,Gotha,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,9,9,0,0,,,,
223384,OIE,53.42,10.67,Europe,Germany,Mecklenburg-Vorpommern,Schwanheide,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",106306,615,615,105691,0,,,,
223383,OIE,52.59,14.26,Europe,Germany,Brandenburg,Neuhardenberg,Exact,29/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",12728,66,66,12662,0,,,,
223382,OIE,50.64,11.99,Europe,Germany,Thueringen,Zeulenroda,Exact,29/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",182,114,61,121,0,,,,
223381,OIE,50.33,11.64,Europe,Germany,Bayern,Bad Steben,Exact,28/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",22,14,14,8,0,,,,
223380,OIE,53.02,12.76,Europe,Germany,Brandenburg,Neuruppin,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",234,1,1,92,0,,,,
223379,OIE,50.49,11.85,Europe,Germany,Thueringen,Saale-Orla-Kreis,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,1,1,0,0,,,,
223378,OIE,50.43,12.12,Europe,Germany,Sachsen,Vogtlandkreis,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, goose",,2,2,0,0,,,,
223377,OIE,50.18,7.64,Europe,Germany,Rheinland-Pfalz,Rhein-Hunsrück-Kreis,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,1,1,0,0,,,,
223376,OIE,49.06,12.05,Europe,Germany,Bayern,Lappersdorf,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",37,1,1,36,0,,,,
223375,OIE,52.59,14.26,Europe,Germany,Brandenburg,Neuhardenberg,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",13722,1060,1017,12705,0,,,,
223374,OIE,54.04,12.8,Europe,Germany,Mecklenburg-Vorpommern,Deyelsdorf,Exact,26/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",38343,528,528,37815,0,,,,
223373,OIE,53.05,8.01,Europe,Germany,Niedersachsen,Bösel,Exact,25/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",7475,3000,70,7405,0,,,,
223372,OIE,51.01,10.99,Europe,Germany,Thueringen,Erfurt,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,3,3,0,0,,,,
223371,OIE,51.75,14.64,Europe,Germany,Brandenburg,Spree-Neiße,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,1,1,0,0,,,,
223370,OIE,51.74,14.35,Europe,Germany,Brandenburg,Cottbus,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, wild duck",,2,2,0,0,,,,
223369,OIE,50.55,8.48,Europe,Germany,Hessen,Lahn-Dill-Kreis,Exact,23/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, goose",,1,1,0,0,,,,
223368,OIE,51.07,12.9,Europe,Germany,Sachsen,Mittelsachsen,Exact,21/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,3,3,0,0,,,,
223367,OIE,50.02,7.18,Europe,Germany,Rheinland-Pfalz,Cochem-Zell,Exact,20/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, swan",,13,13,0,0,,,,
223366,OIE,43.7375,-0.621944,Europe,France,Aquitaine,BANOS,Exact,19/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N1 LPAI,"domestic, duck",0,0,0,0,0,,,,
223365,OIE,43.7853,-0.0075,Europe,France,Midi-Pyrenees,SAINT CHRISTIE D''''ARMAGNAC,Exact,26/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",0,0,0,0,0,,,,
223364,OIE,43.599444,-0.138611,Europe,France,Midi-Pyrenees,VIELLA,Exact,26/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, buzzard",0,0,0,0,0,,,,
223363,OIE,43.776111,-0.179444,Europe,France,Midi-Pyrenees,LE HOUGA,Exact,26/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, buzzard",0,0,0,0,0,,,,
223362,OIE,43.4211,0.3642,Europe,France,Midi-Pyrenees,SAINTE DODE,Exact,26/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, buzzard",0,0,0,0,0,,,,
223361,OIE,43.595833,-0.325833,Europe,France,Aquitaine,MIRAMONT SENSACQ,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, cattle egret",0,0,0,0,0,,,,
223360,OIE,43.730278,-0.898333,Europe,France,Aquitaine,GOOS,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",16400,0,0,16400,0,,,,
223359,OIE,43.730278,-0.898333,Europe,France,Aquitaine,GOOS,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",3400,0,0,3400,0,,,,
223358,OIE,43.4844,-0.279444,Europe,France,Aquitaine,CARRERE,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
223357,OIE,43.4425,-0.2611,Europe,France,Aquitaine,SEVIGNACQ,Exact,30/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
223356,OIE,43.7592,-0.907222,Europe,France,Aquitaine,PRECHACQ LES BAINS,Exact,29/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",7500,0,0,7500,0,,,,
223355,OIE,43.730278,0.217222,Europe,France,Midi-Pyrenees,CASTILLON DEBATS,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",5000,0,0,5000,0,,,,
223354,OIE,43.5867,-0.507778,Europe,France,Aquitaine,MANT,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",27750,0,0,27750,0,,,,
223353,OIE,43.7186,-0.197222,Europe,France,Midi-Pyrenees,VERGOIGNAN,Exact,27/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",6741,0,0,6741,0,,,,
223352,OIE,43.5031,-0.066389,Europe,France,Aquitaine,Monpezat,Exact,26/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",4400,0,0,4400,0,,,,
223351,OIE,43.430833,0.579722,Europe,France,Midi-Pyrenees,MASSEUBE,Exact,25/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",850,0,0,0,0,,,,
223350,OIE,43.2658,0.3794,Europe,France,Midi-Pyrenees,SENTOUS,Exact,25/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
223349,OIE,43.315556,0.708056,Europe,France,Midi-Pyrenees,PEGUILHAN,Exact,25/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",890,0,0,890,0,,,,
223348,OIE,43.461389,0.215833,Europe,France,Midi-Pyrenees,TRONCENS,Exact,25/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
223347,OIE,43.7075,-0.145278,Europe,France,Midi-Pyrenees,LELIN LAPUJOLLE,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
223346,OIE,43.7075,-0.145278,Europe,France,Midi-Pyrenees,LELIN LAPUJOLLE,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",0,0,0,0,0,,,,
223345,OIE,43.6292,-0.286944,Europe,France,Aquitaine,LATRILLE,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, chicken",1000,0,0,1000,0,,,,
223344,OIE,43.5367,-0.411389,Europe,France,Aquitaine,ARZACQ-ARRAZIGUET,Exact,24/01/2017,03/02/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, duck",1000,0,0,1000,0,,,,
