Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
264093,OIE,18.24055,-70.282265,Americas,Dominican Republic,Peravia,Peravia,Exact,17/09/2019,19/12/2019,Confirmed,Newcastle disease,,"domestic, chicken",13191,13191,6809,6382,,,,,
264044,OIE,44.1099,26.8042,Europe,Romania,Calarasi,Chislet,Exact,23/12/2019,23/12/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
264043,OIE,44.9312,25.6261,Europe,Romania,Dimbovita,Adanca,Exact,23/12/2019,23/12/2019,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,,,
264042,OIE,45.1614,25.3929,Europe,Romania,Dimbovita,Runcu,Exact,20/12/2019,23/12/2019,Confirmed,African swine fever,,"wild, wild boar",,2,0,2,,,,,
264041,OIE,44.9741,25.4648,Europe,Romania,Dimbovita,Viforata,Exact,19/12/2019,23/12/2019,Confirmed,African swine fever,,"wild, wild boar",18,18,1,17,,,,,
264040,OIE,45.1945,26.9756,Europe,Romania,Buzau,Boboc,Exact,12/12/2019,23/12/2019,Confirmed,African swine fever,,"wild, wild boar",7,7,1,6,,,,,
264039,OIE,47.1908,22.5122,Europe,Romania,Bihor,Lapis,Exact,20/12/2019,23/12/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
264038,OIE,47.7439,23.3112,Europe,Romania,Maramures,Sabisa,Exact,14/12/2019,20/12/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
264037,OIE,44.818976,25.821518,Europe,Romania,Dimbovita,Finta,Exact,18/12/2019,20/12/2019,Confirmed,African swine fever,,"wild, wild boar",,2,2,,,,,,
264036,OIE,44.666521,23.574296,Europe,Romania,Gorj,Turburea,Exact,16/12/2019,20/12/2019,Confirmed,African swine fever,,"wild, wild boar",,1,,1,,,,,
264035,OIE,45.196703,23.403826,Europe,Romania,Gorj,Sadu,Exact,16/12/2019,20/12/2019,Confirmed,African swine fever,,"wild, wild boar",,2,,2,,,,,
