Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
232657,OIE,51.571944,23.326111,Europe,Poland,Lubeiskie,Wyryki Kolonia,Exact,20/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,3,3,,,,,,
232656,OIE,52.043889,22.743889,Europe,Poland,Lubeiskie,Halasy,Exact,20/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
232655,OIE,52.053333,22.7625,Europe,Poland,Lubeiskie,Manie,Exact,20/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,4,4,,,,,,
232654,OIE,52.284444,22.731944,Europe,Poland,Mazowieckie,Myszkowice,Exact,20/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
232653,OIE,51.901389,22.631944,Europe,Poland,Lubeiskie,Milolas,Exact,20/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
232652,OIE,51.916944,22.638333,Europe,Poland,Lubeiskie,Polskowola,Exact,20/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
232651,OIE,52.284444,22.731944,Europe,Poland,Mazowieckie,Wyryki Kolonia,Exact,19/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,2,2,,,,,,
232650,OIE,51.585833,23.416389,Europe,Poland,Lubeiskie,Zukow,Exact,18/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
232649,OIE,51.880278,22.631667,Europe,Poland,Lubeiskie,Kakolewnica,Exact,17/11/2017,11/12/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
232641,OIE,57.791207,41.082189,Europe,Russian Federation,Kostromskaya Oblast,Kostroma Poultry Farm,Exact,17/12/2017,21/12/2017,Confirmed,Influenza - Avian,H5N2 HPAI,"domestic, unspecified bird",663503,44112,44112,,,,0,,
232625,OIE,27.516,106.757,Asia,China,Guizhou Sheng,"Zunyi, Bozhou District ",Exact,29/11/2017,19/12/2017,Confirmed,Foot and mouth disease,O,"domestic, cattle",64,10,0,54,0,,0,,
