Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
239795,OIE,58.88138,27.79133,Europe,Russian Federation,Pskovskaya Oblast,o/kh OOO ""RSK"",Exact,28/08/2018,07/09/2018,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
239794,OIE,47.61428,41.497693,Europe,Russian Federation,Rostovskaya Oblast,Nikolaevskaya,Exact,27/08/2018,07/09/2018,Confirmed,African swine fever,,"domestic, swine",12,2,1,11,,,,,
239793,OIE,54.777508,21.601527,Europe,Russian Federation,Kaliningradskaya Oblast,Krasnaya Dubrava,Exact,03/09/2018,07/09/2018,Confirmed,African swine fever,,"wild, wild boar",3,3,,,,,,,
239792,OIE,2.7086,-75.67325,Americas,Colombia,Huila,Plaza de Feria Íquira,Exact,26/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",5,2,,,,,,,
239791,OIE,10.50394,-74.20791,Americas,Colombia,Magdalena,Pesebrera Rodrigo Vives,Exact,24/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",26,26,,,,,,,
239790,OIE,1.191105,-76.64707,Americas,Colombia,Putumayo,Pesebrera Rensa,Exact,23/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",3,3,,,,,,,
239789,OIE,1.827,-76.187,Americas,Colombia,Huila,Villa Nikol,Exact,23/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",10,3,,,,,,,
239788,OIE,8.349219,-75.55584,Americas,Colombia,Cordoba,El Diamante,Exact,22/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",9,1,,,,,,,
239787,OIE,10.48744,-75.12591,Americas,Colombia,Atlantico,Las Claritas,Exact,21/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",2,2,1,,,,,,
239786,OIE,10.623024,-74.93023,Americas,Colombia,Atlantico,La Paz,Exact,21/08/2018,07/09/2018,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",1,1,,,,,,,
