Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
251363,OIE,44.1657,27.4331,Europe,Romania,Calarasi,Roseti,Exact,08/04/2019,12/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
251350,National authorities,28.42,48.48,Asia,Saudi Arabia,Eastern Province,Al Khafji,Unknown,11/04/2019,13/04/2019,Confirmed,MERS-CoV ,,,,,,,,Female,75,1,
251274,OIE,26.8382,89.1136,Asia,Bhutan,Samtse,Dhamdara ,Exact,06/04/2019,11/04/2019,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",2000,264,264,1095,,,0,,
250747,National authorities,17.74,42.26,Asia,Saudi Arabia,Jizan,Al Darb,Unknown,,10/04/2019,Confirmed,MERS-CoV ,,,,,,,,Male,42,1,
250741,OIE,-0.456557,36.10175,Africa,Kenya,Rift Valley,Naukuru,Centroid Admin2,,10/04/2019,Confirmed,Anthrax,,"wild, buffaloe",,,,,,,,,
250740,National authorities,24.14926,47.300262,Asia,Saudi Arabia,Riyad,Al Kharj,Unknown,09/04/2019,11/04/2019,Confirmed,MERS-CoV ,,,,,,,,,0,1,
250739,National authorities,28.42,48.48,Asia,Saudi Arabia,Eastern Province,Al Khafji,Unknown,08/04/2019,10/04/2019,Confirmed,MERS-CoV ,,,,,,,,,0,1,
250738,National authorities,18.237637,45.611746,Asia,Saudi Arabia,Najran,Najran,Unknown,01/04/2019,08/04/2019,Confirmed,MERS-CoV ,,,,,,,,,,1,
250737,National authorities,28.42,48.48,Asia,Saudi Arabia,Eastern Province,Al Khafji,Unknown,,08/04/2019,Confirmed,MERS-CoV ,,,,,,,,Female,34,1,
250736,National authorities,23.40208,45.23404,Asia,Saudi Arabia,Riyad,Riyadh,Unknown,01/04/2019,08/04/2019,Confirmed,MERS-CoV ,,,,,,,,,,1,
250735,National authorities,21.543489,39.172989,Asia,Saudi Arabia,Makkah,Jeddah,Unknown,02/04/2019,08/04/2019,Confirmed,MERS-CoV ,,,,,,,,,0,1,1
250734,National authorities,21.543489,39.172989,Asia,Saudi Arabia,Makkah,Al Khafji,Unknown,,07/04/2019,Confirmed,MERS-CoV ,,,,,,,,,,1,
250733,National authorities,28.42,48.48,Asia,Saudi Arabia,Eastern Province,Al Khafji,Unknown,,07/04/2019,Confirmed,MERS-CoV ,,,,,,,,Female,28,1,
250732,OIE,44.5415,28.2836,Europe,Romania,Constanta,Ciucurova,Exact,08/04/2019,11/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,,,,,
250731,OIE,45.5202,27.0272,Europe,Romania,Vrancea,Trestieni,Exact,02/04/2019,11/04/2019,Confirmed,African swine fever,,"wild, wild boar",,8,8,0,,,,,
250730,OIE,46.5731,26.974,Europe,Romania,Bacau,Holt,Exact,02/04/2019,11/04/2019,Confirmed,African swine fever,,"domestic, swine",2,2,1,1,,,,,
250729,OIE,56.0794,26.4578,Europe,Latvia,Daugavpils,Kalupes,Exact,02/04/2019,11/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,,,
250728,OIE,57.3533,22.3839,Europe,Latvia,Talsu,Valdgales,Exact,02/04/2019,11/04/2019,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,,,,,
